Model,Accuracy,Macro F1,ROC-AUC,F1 (Neg),F1 (Pos),Best CV F1
TF-IDF + LR (Baseline),0.8629,0.8629,0.9394,0.8641,0.8617,0.8606
DistilBERT + LR (Transfer Learning),0.9058,0.9058,0.9614,0.9065,0.9051,0.9001
